p,d,q,RMSE,MAE,MAPE (%),HitRate (%),Precision,Recall,F1
0,1,0,2.7923519637158902,2.0520228950867985,1.2062452749558783,51.156812339331616,0.5238095238095238,0.5238095238095238,0.5238095238095238
2,1,2,2.799924655653896,2.071330893138796,1.2183090685683022,49.61439588688946,0.5084745762711864,0.5263157894736842,0.5172413793103449
1,1,1,2.801102988106235,2.0625983098193315,1.212272764220253,51.02827763496144,0.5213270142180095,0.5513784461152882,0.535931790499391
1,1,0,2.801248005213286,2.0616974657011746,1.2118343846600472,50.77120822622108,0.5192307692307693,0.5413533834586466,0.5300613496932516
0,1,1,2.8014576752731095,2.0622221981251125,1.2121501113421944,50.899742930591266,0.5203836930455635,0.543859649122807,0.5318627450980392
0,1,2,2.801661720446754,2.0623488409798707,1.2122461570981367,50.77120822622108,0.5191387559808612,0.543859649122807,0.5312117503059975
1,1,2,2.8017556094210097,2.06269873305792,1.2124274013973355,50.899742930591266,0.5201900237529691,0.5488721804511278,0.5341463414634147
2,1,0,2.8018990768839016,2.0622693825085556,1.2122401337281972,50.51413881748073,0.5168269230769231,0.5388471177944862,0.5276073619631901
2,1,1,2.8019110388441937,2.062818224351069,1.212418551618352,50.899742930591266,0.5202863961813843,0.5463659147869674,0.5330073349633252
