Date,Adj Close,Close,High,Low,Open,Volume
2010-01-04,6.440331,7.643214,7.660714,7.585000,7.622500,493729600
2010-01-05,6.451466,7.656429,7.699643,7.616071,7.664286,601904800
2010-01-06,6.348846,7.534643,7.686786,7.526786,7.656429,552160000
2010-01-07,6.337109,7.520714,7.571429,7.466071,7.562500,477131200
2010-01-08,6.379241,7.570714,7.571429,7.466429,7.510714,447610800
2010-01-11,6.322967,7.503929,7.607143,7.444643,7.600000,462229600
2010-01-12,6.251041,7.418571,7.491786,7.372143,7.471071,594459600
2010-01-13,6.339218,7.523214,7.533214,7.289286,7.423929,605892000
2010-01-14,6.302503,7.479643,7.516429,7.465000,7.503929,432894000
2010-01-15,6.197174,7.354643,7.557143,7.352500,7.533214,594067600
2010-01-19,6.471328,7.680000,7.685357,7.401429,7.440357,730007600
2010-01-20,6.371719,7.561786,7.698214,7.482143,7.675357,612152800
2010-01-21,6.261574,7.431071,7.618214,7.400357,7.574286,608154400
2010-01-22,5.951010,7.062500,7.410714,7.041429,7.385000,881767600
2010-01-25,6.111107,7.252500,7.310714,7.149643,7.232500,1065699600
2010-01-26,6.197475,7.355000,7.632500,7.235000,7.355357,1867110000
2010-01-27,6.255856,7.424286,7.520714,7.126071,7.387500,1722568400
2010-01-28,5.997353,7.117500,7.339286,7.096429,7.318929,1173502400
2010-01-29,5.779775,6.859286,7.221429,6.794643,7.181429,1245952400
2010-02-01,5.860127,6.954643,7.000000,6.832143,6.870357,749876400
2010-02-02,5.894132,6.995000,7.011429,6.906429,6.996786,698342400
2010-02-03,5.995548,7.115357,7.150000,6.943571,6.970357,615328000
2010-02-04,5.779476,6.858929,7.084643,6.841786,7.026071,757652000
2010-02-05,5.882093,6.980714,7.000000,6.816071,6.879643,850306800
2010-02-08,5.841769,6.932857,7.067143,6.928571,6.988929,478270800
2010-02-09,5.904065,7.006786,7.053571,6.955357,7.015000,632886800
2010-02-10,5.871864,6.968571,7.021429,6.937857,6.996071,370361600
2010-02-11,5.978695,7.095357,7.133929,6.930714,6.960000,550345600
2010-02-12,6.030154,7.156429,7.201429,6.982143,7.075357,655468800
2010-02-16,6.121038,7.264286,7.274643,7.197143,7.212143,543737600
