Date,y_true,y_pred
2020-07-01,74.641998,71.83600349672109
2020-07-02,80.577332,74.46868237516165
2020-07-03,80.577332,80.36010691634917
2020-07-06,91.438667,80.35082313632536
2020-07-07,92.657333,91.1517973407225
2020-07-08,91.05867,92.32961513054614
2020-07-09,92.952003,90.7234338195026
2020-07-10,102.976669,92.59855502440114
2020-07-13,99.804001,102.5589182200846
2020-07-14,101.120003,99.33519533481652
2020-07-15,103.067329,100.65080185998123
2020-07-16,100.042664,102.5771803417486
2020-07-17,100.056,99.56728112006283
2020-07-20,109.533333,99.56538780069351
2020-07-21,104.557335,108.97430039859634
2020-07-22,106.155334,103.99427074309855
2020-07-23,100.87133,105.58189250856984
2020-07-24,94.466667,100.30529262151897
2020-07-27,102.639999,93.979908384696
2020-07-28,98.432671,102.10407179059894
2020-07-29,99.940666,97.90940691205614
2020-07-30,99.166,99.41034453717111
2020-07-31,95.384003,98.6413200815916
2020-08-03,99.0,94.8759903721561
2020-08-04,99.133331,98.48311418294907
2020-08-05,99.001335,98.60762444301999
2020-08-06,99.305336,98.47688310944437
2020-08-07,96.847336,98.77867586274766
2020-08-10,94.571335,96.3311371665864
2020-08-11,91.625999,94.07577901658446
2020-08-12,103.650665,91.15539575248681
2020-08-13,108.066666,103.09948310375214
2020-08-14,110.047333,107.46123765773677
2020-08-17,122.375999,109.41249459313488
2020-08-18,125.806,121.6426788198542
2020-08-19,125.235336,124.98756290829182
2020-08-20,133.455338,124.40580907378006
2020-08-21,136.665329,132.5386945071565
2020-08-24,134.279999,135.66175555057907
2020-08-25,134.889328,133.24561531496178
2020-08-26,143.544662,133.86333167048932
2020-08-27,149.25,142.40330968230091
2020-08-28,147.559998,148.00215013325214
2020-08-31,166.106674,146.27426273214448
2020-09-01,158.350006,164.62169331469215
2020-09-02,149.123337,156.84392117296912
2020-09-03,135.666672,147.69167540068636
2020-09-04,139.440002,134.43874148539354
2020-09-07,139.440002,138.16793691923178
2020-09-08,110.07,138.16487837121426
2020-09-09,122.09333,109.11155634462833
2020-09-10,123.779999,121.0395726791191
