ticker,pearson_vol_vs_error_your,pearson_vol_vs_error_final,n_points
AAPL,0.377966,0.059726,1551
TSLA,0.211425,0.118841,1501
XOM,0.335804,0.240400,1551
SPY,0.580398,0.220072,1551
JNJ,0.558778,0.202024,1551
AMD,0.320173,0.138920,1551
PG,0.565375,0.286333,1551
