regime_type,mae,rmse,mape,hit_rate,precision,recall,f1
High-Volatility,4.198947106709278,6.190451366152939,2.7921349765944603,0.4827392079990599,0.4811694531522117,0.49719668666449635,0.4890472548784389
Low-Volatility,1.0815561823349495,1.5633833914217163,0.8135435946529044,0.5115755627009646,0.52046783625731,0.5346187554776511,0.5274481534878562
Post-Trend Reversal,1.3280892137983558,1.8630921718913842,1.3723560690871215,0.504823151125402,0.5107631284745088,0.5243774878693669,0.5174807585894663
Sideways/Chop,2.926439067007593,4.211685530713979,0.7970767237742477,0.4906752411575563,0.5231481481481481,0.5432692307692307,0.5330188679245284
