ticker,mae,rmse,mape,hit_rate,precision,recall,f1
AAPL,2.248416838,3.040631029,1.748386176,0.463665595,0.502320186,0.532595326,0.517014925
TSLA,8.068379345,11.74352394,4.781362606,0.481063123,0.508054523,0.531776913,0.51964512
XOM,1.572728987,2.07186834,2.887702847,0.480385852,0.489088575,0.5,0.494484101
SPY,3.805902202,5.189761964,1.027894944,0.479742765,0.525974026,0.564903846,0.543038706
JNJ,1.490387089,1.971695124,1.0671822,0.499678457,0.518472906,0.537662338,0.526382708
AMD,3.163624822,4.494837103,3.494714448,0.46896993,0.468033776,0.507304117,0.491002571
PG,1.386606895,1.878365106,1.094859772,0.463211772,0.498855835,0.533742331,0.518783542
