ticker,mae,rmse,mape
AAPL,-0.4481656326972545,-0.4484533412779541,-0.3418515851072248
TSLA,-1.7948700108648126,-2.056739615623748,-1.1429639226721657
XOM,-0.3391191658067394,-0.35943199129863435,-0.6786592659685384
SPY,-0.9955717179580921,-1.1931003087265992,-0.25170311292986414
JNJ,-0.24863582293894937,-0.2216106076160691,-0.1780579672219016
AMD,-0.58620829314515,-0.6993344375133215,-0.6134407013111716
PG,-0.20605590347800962,-0.19403840573145503,-0.16898738909127498
