ticker,mae,rmse,mape,hit_rate,precision,recall,f1
AAPL,4.492060215,5.913103725,3.654361484,0.476007678,0.511945392,0.550795594,0.530660377
TSLA,18.23256308,24.57930553,10.37449085,0.492399207,0.515700483,0.551679587,0.533083645
XOM,2.643768987,3.332902316,4.65049443,0.488803583,0.493811881,0.520887728,0.506988564
SPY,2.935146507,3.863039562,2.315037238,0.476007678,0.51146789,0.545899633,0.52812315
JNJ,2.4128338,3.100648126,1.717040702,0.502239283,0.516169154,0.536175711,0.525982256
AMD,6.408386227,8.753953595,7.013585199,0.471529111,0.471515152,0.513870542,0.491782554
PG,2.436159731,3.092036491,1.953491723,0.467050544,0.501738123,0.528693529,0.514863258
