p,d,q,RMSE,MAE,MAPE (%),HitRate (%),Precision,Recall,F1
0,1,0,1.5601569319912731,1.124270644132025,0.7286840729174041,56.169665809768645,0.5390835579514824,0.5405405405405406,0.5398110661268556
0,1,1,1.563648501060467,1.1342406921447483,0.7352275228782489,54.37017994858612,0.5194805194805194,0.5405405405405406,0.5298013245033113
1,1,0,1.5643974401677703,1.1356282529220831,0.7361301789215773,54.498714652956295,0.5209424083769634,0.5378378378378378,0.5292553191489362
1,1,1,1.5659524995629697,1.1382720537179785,0.7378396319442578,53.98457583547558,0.5158730158730159,0.527027027027027,0.5213903743315508
2,1,0,1.5674892917128098,1.1397136198089028,0.738755627626877,53.98457583547558,0.5157894736842106,0.5297297297297298,0.5226666666666666
0,1,2,1.567782169112876,1.1395644780903436,0.7386459293212021,54.113110539845756,0.5171503957783641,0.5297297297297298,0.5233644859813084
2,1,1,1.5678618480907243,1.1395871946207439,0.7386167457054437,54.113110539845756,0.5165394402035624,0.5486486486486486,0.5321100917431193
1,1,2,1.5678970521098143,1.1398182793474063,0.7388133804668044,53.8560411311054,0.5145888594164456,0.5243243243243243,0.5194109772423026
2,1,2,1.5702561515989135,1.1434975688618394,0.7412278656013772,54.498714652956295,0.5210526315789473,0.5351351351351351,0.528
