p,d,q,RMSE,MAE,MAPE (%),HitRate (%),Precision,Recall,F1
0,1,0,9.027750706134478,6.385409625403503,2.7348799136400888,52.058432934926955,0.5173333333333333,0.5187165775401069,0.5180240320427236
1,1,0,9.037703822265017,6.399861543130056,2.739523067371355,51.527224435590966,0.5116279069767442,0.5294117647058824,0.5203679369250985
0,1,1,9.038421528298535,6.400346742661828,2.7397234118302762,51.527224435590966,0.5116279069767442,0.5294117647058824,0.5203679369250985
0,1,2,9.051619296484207,6.401680811444391,2.740445352203481,51.39442231075697,0.5103092783505154,0.5294117647058824,0.5196850393700787
2,1,0,9.054514672174566,6.4027313864622695,2.7409168465887443,51.26162018592297,0.5090439276485789,0.5267379679144385,0.5177398160315374
1,1,1,9.056932472833955,6.40949010246985,2.7434743245548057,52.191235059760956,0.5180412371134021,0.5374331550802139,0.5275590551181102
2,1,1,9.06568549118879,6.402391082954718,2.7407727226965295,50.73041168658698,0.5038363171355499,0.5267379679144385,0.515032679738562
2,1,2,9.073865971185338,6.473654905362259,2.7747440635142318,51.527224435590966,0.5116279069767442,0.5294117647058824,0.5203679369250985
1,1,2,9.076784538854247,6.412781477398698,2.744942963202692,51.92563081009296,0.5153061224489796,0.5401069518716578,0.5274151436031331
