date,open,high,low,close,adj_close,volume,log_return_1d
2014-12-01,67.240227,67.613083,66.755524,67.173119,67.173119,6745100,-0.003878
2014-12-02,67.441589,67.985954,67.202965,67.911385,67.911385,7432900,0.010931
2014-12-03,67.739838,67.836784,66.844994,67.113449,67.113449,6465600,-0.011819
2014-12-04,67.486313,67.814423,67.188026,67.545967,67.545967,6406700,0.006424
2014-12-05,67.352074,67.426643,66.524338,67.396812,67.396812,6383400,-0.002211
2014-12-08,67.366982,67.859154,67.352074,67.680183,67.680183,4721900,0.004196
2014-12-09,67.463951,67.695122,67.016533,67.642921,67.642921,5704000,-0.000551
2014-12-10,67.821869,67.933723,67.083618,67.113449,67.113449,6293300,-0.007858
2014-12-11,67.113449,68.067947,67.098534,67.419189,67.419189,6468700,0.004545
2014-12-12,67.120941,67.836815,66.763,66.777916,66.777916,6574600,-0.009557
2014-12-15,66.889763,67.560898,66.390137,66.516907,66.516907,6511900,-0.003916
2014-12-16,66.472168,67.829353,65.905426,66.636223,66.636223,8773800,0.001792
2014-12-17,66.78537,67.978508,66.666061,67.635475,67.635475,7412700,0.014884
2014-12-18,67.866631,68.604881,67.523613,68.604881,68.604881,8724500,0.014231
2014-12-19,68.716728,69.149239,68.425903,68.642159,68.642159,14037800,0.000543
2014-12-22,68.679443,69.149246,68.604874,69.052299,69.052299,7157100,0.005957
2014-12-23,69.156677,69.708504,69.126846,69.566818,69.566818,5610600,0.007424
2014-12-24,69.723427,70.014252,69.454971,69.454971,69.454971,2403000,-0.001609
2014-12-25,69.723427,70.014252,69.454971,69.454971,69.454971,2403000,0.0
2014-12-26,69.462425,69.954582,69.395302,69.693588,69.693588,3148700,0.00343
2014-12-29,69.440079,69.671249,68.977737,69.082138,69.082138,4657700,-0.008812
2014-12-30,68.791298,69.216347,68.679436,68.903152,68.903152,4730000,-0.002594
2014-12-31,68.634712,69.01503,67.881554,67.926292,67.926292,5712100,-0.014279
2015-01-01,68.634712,69.01503,67.881554,67.926292,67.926292,5712100,0.0
2015-01-02,67.739845,67.859161,67.053795,67.441566,67.441566,7251400,-0.007162
2015-01-05,67.284973,67.859161,67.001602,67.120918,67.120918,8626100,-0.004766
2015-01-06,67.34465,67.531075,66.561661,66.815201,66.815201,7791200,-0.004565
2015-01-07,67.068718,67.389374,66.785347,67.165657,67.165657,5986600,0.005231
2015-01-08,67.471397,68.030678,67.210396,67.933731,67.933731,6823300,0.011371
2015-01-09,67.993401,67.993401,67.202957,67.299896,67.299896,4872800,-0.009374
2015-01-12,67.47139,67.57579,66.748062,67.053795,67.053795,5250900,-0.003663
2015-01-13,67.695107,68.232018,66.941948,67.337173,67.337173,6727100,0.004217
2015-01-14,66.912125,67.23278,66.688408,67.106003,67.106003,6418200,-0.003439
2015-01-15,67.478859,67.486313,66.621292,67.009064,67.009064,6768200,-0.001446
2015-01-16,67.076172,68.112701,67.016525,68.045593,68.045593,8815700,0.01535
2015-01-19,67.076172,68.112701,67.016525,68.045593,68.045593,8815700,0.0
2015-01-20,68.045609,68.448296,67.486328,68.00087,68.00087,9869900,-0.000657
2015-01-21,67.89119,68.484489,67.312912,68.139023,68.139023,6974500,0.00203
2015-01-22,68.371864,68.860016,67.493187,68.807449,68.807449,7211200,0.009762
2015-01-23,68.469475,68.484497,67.553246,67.650879,67.650879,6745700,-0.016952
2015-01-26,67.553261,67.553261,66.644539,67.275391,67.275391,9371700,-0.005566
2015-01-27,65.412888,65.495499,64.601799,64.954773,64.954773,14417400,-0.035103
2015-01-28,65.059898,65.27018,63.843266,63.948406,63.948406,14033400,-0.015615
2015-01-29,64.421532,64.669365,63.948399,64.338921,64.338921,12054500,0.006088
2015-01-30,63.903358,64.000992,63.272514,63.302555,63.302555,14685300,-0.016239
2015-02-02,63.520363,63.940926,62.844452,63.925907,63.925907,10278700,0.009799
2015-02-03,64.549225,64.586777,63.925892,64.549225,64.549225,10747900,0.009703
2015-02-04,64.50415,64.94725,64.24881,64.429054,64.429054,9212800,-0.001863
2015-02-05,64.767014,65.172562,64.661873,65.11248,65.11248,6531300,0.010552
2015-02-06,65.007347,65.044899,63.948429,64.293892,64.293892,8429800,-0.012652
2015-02-09,64.068588,64.158714,63.527863,63.873333,63.873333,8811500,-0.006563
2015-02-10,64.083633,64.263878,63.700619,64.128693,64.128693,7059300,0.00399
2015-02-11,64.549232,64.736984,63.948429,64.316422,64.316422,7184600,0.002923
2015-02-12,64.631828,64.699425,64.143677,64.609299,64.609299,6074600,0.004543
2015-02-13,64.609299,64.699425,64.211266,64.511673,64.511673,6272000,-0.001512
2015-02-16,64.609299,64.699425,64.211266,64.511673,64.511673,6272000,0.0
2015-02-17,64.631828,64.631828,63.835758,64.203751,64.203751,10310400,-0.004785
2015-02-18,64.406509,64.879639,64.226265,64.782013,64.782013,8132300,0.008966
2015-02-19,64.66938,64.812073,63.873314,63.993473,63.993473,7271600,-0.012247
2015-02-20,63.798206,63.87331,63.227444,63.738129,63.738129,9581300,-0.003998
2015-02-23,63.805759,64.211304,63.572948,64.128693,64.128693,7919200,0.006109
2015-02-24,64.218803,64.391525,63.843296,64.211288,64.211288,6502200,0.001287
2015-02-25,64.36145,64.436554,64.015984,64.181206,64.181206,5975800,-0.000469
2015-02-26,64.151192,64.406532,63.753155,63.963436,63.963436,7964500,-0.003399
2015-02-27,63.85078,64.121147,63.512829,63.933392,63.933392,7685000,-0.00047
2015-03-02,63.933403,64.143692,63.715611,64.143692,64.143692,7235200,0.003284
2015-03-03,64.09861,64.166199,63.490292,63.955921,63.955921,6095600,-0.002932
2015-03-04,63.865795,64.015991,63.242455,63.347595,63.347595,7370000,-0.009557
2015-03-05,63.550369,63.655506,63.152328,63.557873,63.557873,5914200,0.003314
2015-03-06,63.340099,63.362637,61.860619,62.078411,62.078411,11338700,-0.023553
2015-03-09,62.176025,62.491447,62.093414,62.401325,62.401325,7326700,0.005188
2015-03-10,61.935726,62.243637,61.237289,61.237289,61.237289,9681400,-0.01883
2015-03-11,61.229767,61.417519,60.689041,61.124626,61.124626,10066600,-0.001841
2015-03-12,61.274799,61.67284,61.214722,61.650303,61.650303,6951100,0.008563
2015-03-13,61.567703,61.793003,60.944366,61.455051,61.455051,7492500,-0.003172
2015-03-16,61.642796,63.047176,61.575199,62.754284,62.754284,15618300,0.020921
2015-03-17,62.604103,62.611614,61.905663,62.221085,62.221085,7509300,-0.008533
2015-03-18,62.228577,63.122276,61.597725,62.896973,62.896973,12607900,0.010804
2015-03-19,62.679199,62.896992,62.423859,62.619118,62.619118,9257500,-0.004427
2015-03-20,63.077232,63.67804,62.91201,63.640488,63.640488,22580300,0.016179
2015-03-23,63.362621,63.873306,63.35511,63.730614,63.730614,9891100,0.001415
2015-03-24,63.753155,63.918381,62.987129,63.024677,63.024677,7478800,-0.011139
2015-03-25,63.362621,63.362621,62.228596,62.341248,62.341248,8482200,-0.010903
2015-03-26,62.018314,62.040844,61.545174,61.695381,61.695381,7311600,-0.010414
2015-03-27,61.642796,61.988258,61.575203,61.815525,61.815525,6440600,0.001945
2015-03-30,62.055862,62.296185,61.695381,62.123455,62.123455,6416800,0.004969
2015-03-31,62.153511,62.281181,61.537682,61.537682,61.537682,8649700,-0.009474
2015-04-01,61.913174,61.920681,61.16967,61.823051,61.823051,7395300,0.004627
2015-04-02,61.710388,62.02581,61.522636,61.905651,61.905651,6169800,0.001335
2015-04-03,61.710388,62.02581,61.522636,61.905651,61.905651,6169800,0.0
2015-04-06,61.522652,62.506477,61.214741,62.363785,62.363785,6856300,0.007373
2015-04-07,62.281178,62.551544,61.830574,61.875633,61.875633,6329900,-0.007858
2015-04-08,61.808025,62.46891,61.785492,62.160995,62.160995,6523400,0.004601
2015-04-09,62.055855,62.296177,61.590233,62.251118,62.251118,6185000,0.001449
2015-04-10,62.183548,62.806881,62.123466,62.5966,62.5966,7001700,0.005534
2015-04-13,62.333733,63.047188,62.288673,62.656666,62.656666,8290500,0.000959
