p,d,q,RMSE,MAE,MAPE (%),HitRate (%),Precision,Recall,F1
0,1,0,1.5685126886604563,1.1208416991562304,0.7748890956297266,50.77120822622108,0.5126903553299492,0.5139949109414759,0.5133418043202033
0,1,1,1.5737997094647131,1.1267136597319076,0.7792730137334629,49.48586118251928,0.5,0.5343511450381679,0.5166051660516605
1,1,0,1.5739934342769353,1.1265613676223734,0.7791027612029802,49.228791773778916,0.49760765550239233,0.5292620865139949,0.5129469790382244
0,1,2,1.574549526231905,1.1276516892902846,0.7800531024659221,49.48586118251928,0.5,0.5343511450381679,0.5166051660516605
2,1,0,1.5745625993888723,1.1272710106545485,0.7796832460931207,49.10025706940874,0.4964200477326969,0.5292620865139949,0.5123152709359606
1,1,1,1.575379583549545,1.130796225337758,0.7823750893370951,48.97172236503856,0.49521531100478466,0.5267175572519084,0.5104808877928483
1,1,2,1.5759260017997077,1.1312819526023907,0.7826894321838566,49.3573264781491,0.4988066825775656,0.5318066157760815,0.5147783251231527
2,1,2,1.576822147937581,1.1321118974704685,0.7831752218469838,48.97172236503856,0.49521531100478466,0.5267175572519084,0.5104808877928483
2,1,1,1.5845695679999607,1.1345062269738067,0.7846913573973676,48.714652956298195,0.49282296650717705,0.5241730279898219,0.5080147965474723
