date,open,high,low,close,adj_close,volume,log_return_1d
2010-01-04,38.943863,39.071316,38.637970,38.950233,38.950233,9190800,
2010-01-05,38.956600,39.052189,38.618843,38.962971,38.962971,8649400,0.000327
2010-01-06,38.835526,38.848274,38.555126,38.778172,38.778172,9908400,-0.004754
2010-01-07,38.606117,38.682590,38.389442,38.567879,38.567879,8972800,-0.005438
2010-01-08,38.465900,38.574234,38.274715,38.516880,38.516880,8464600,-0.001323
2010-01-11,38.287472,38.408554,37.605587,38.363945,38.363945,14774600,-0.003979
2010-01-12,38.682590,39.103195,38.555138,38.803673,38.803673,13460700,0.011397
2010-01-13,38.899235,39.377190,38.816387,39.205124,39.205124,16968100,0.010293
2010-01-14,39.141415,39.345345,39.115925,39.243382,39.243382,9139500,0.000975
2010-01-15,39.256134,39.421825,38.516895,38.759060,38.759060,15768300,-0.012418
2010-01-18,39.256134,39.421825,38.516895,38.759060,38.759060,15768300,0.000000
2010-01-19,38.746311,39.402706,38.746311,39.332607,39.332607,11577700,0.014689
2010-01-20,39.133625,39.178555,38.575211,38.799862,38.799862,11557800,-0.013637
2010-01-21,38.870476,39.107960,38.158024,38.408344,38.408344,14298400,-0.010142
2010-01-22,38.350571,38.953911,38.010391,38.710007,38.710007,17703200,0.007823
2010-01-25,39.043766,39.140041,38.607307,38.915394,38.915394,11630800,0.005292
2010-01-26,38.620129,39.120773,38.511017,38.953892,38.953892,13079000,0.000989
2010-01-27,38.806282,39.140045,38.478939,39.030930,39.030930,15228400,0.001976
2010-01-28,39.582924,40.635563,39.525162,39.589344,39.589344,26930000,0.014206
2010-01-29,39.736965,39.948776,39.454552,39.505898,39.505898,17067100,-0.002110
2010-02-01,39.698456,39.948780,39.480228,39.788319,39.788319,12908100,0.007123
2010-02-02,39.749790,40.462246,39.576492,40.372387,40.372387,17680700,0.014573
2010-02-03,40.269699,40.346722,40.025795,40.211933,40.211933,11083500,-0.003982
2010-02-04,39.923100,40.012955,39.351852,39.409618,39.409618,14306600,-0.020154
2010-02-05,39.210651,39.435299,38.787029,39.345440,39.345440,14844400,-0.001630
2010-02-08,39.191399,39.480232,39.030937,39.159306,39.159306,11431800,-0.004742
2010-02-09,39.396793,39.794739,39.159306,39.640694,39.640694,11427100,0.012218
2010-02-10,39.627857,39.698456,39.294094,39.582924,39.582924,9854600,-0.001458
2010-02-11,39.422462,39.897434,39.326187,39.769062,39.769062,10383400,0.004691
2010-02-12,39.640694,39.878181,39.339027,39.640694,39.640694,16188300,-0.003233
2010-02-15,39.640694,39.878181,39.339027,39.640694,39.640694,16188300,0.000000
2010-02-16,40.179836,40.353138,40.019375,40.327465,40.327465,13273100,0.017177
2010-02-17,40.308205,40.417320,40.122070,40.340298,40.340298,14384400,0.000318
2010-02-18,40.263271,40.757496,40.019363,40.686890,40.686890,17709000,0.008555
2010-02-19,40.609890,40.911560,40.449425,40.725422,40.725422,10897800,0.000947
2010-02-22,40.879463,41.001415,40.629139,40.706161,40.706161,9675300,-0.000473
2010-02-23,40.584213,40.962906,40.385239,40.571377,40.571377,11948500,-0.003317
2010-02-24,40.577785,41.052753,40.520020,41.007824,41.007824,12808800,0.010700
2010-02-25,40.584213,40.988579,40.443005,40.885883,40.885883,10085600,-0.002978
2010-02-26,40.917976,41.001419,40.526447,40.616306,40.616306,10640900,-0.006615
2010-03-01,40.731819,40.950050,40.532848,40.763912,40.763912,7748600,0.003628
2010-03-02,40.898701,40.994976,40.654797,40.892281,40.892281,8004000,0.003144
2010-03-03,40.860188,41.014233,40.712563,40.789585,40.789585,8608300,-0.002515
2010-03-04,40.853794,41.174717,40.699749,40.866627,40.866627,8600300,0.001887
2010-03-05,40.879459,40.937225,40.468674,40.879459,40.879459,10101100,0.000314
2010-03-08,40.789604,40.866623,40.455841,40.558537,40.558537,11293300,-0.007881
2010-03-09,40.487934,40.757511,40.468678,40.629139,40.629139,7100900,0.001739
2010-03-10,40.584217,40.622726,40.346733,40.443008,40.443008,9813200,-0.004592
2010-03-11,40.282532,40.552113,40.122070,40.545692,40.545692,10047900,0.002536
2010-03-12,40.648392,40.789597,40.475090,40.641972,40.641972,8099000,0.002372
2010-03-15,40.558537,40.885883,40.558537,40.885883,40.885883,7674900,0.005984
2010-03-16,40.898716,41.014252,40.706161,40.776764,40.776764,8939300,-0.002672
2010-03-17,40.937229,41.097694,40.674072,41.084858,41.084858,10135400,0.007527
2010-03-18,41.014248,41.161869,40.853786,40.905132,40.905132,8867400,-0.004384
2010-03-19,40.975739,41.078434,40.770348,40.975739,40.975739,17458100,0.001725
2010-03-22,40.770359,41.142632,40.770359,41.001427,41.001427,9648000,0.000627
2010-03-23,41.033508,41.450710,40.860207,41.418617,41.418617,11807900,0.010124
2010-03-24,41.290249,41.335178,40.744675,40.828117,40.828117,11732100,-0.014359
2010-03-25,41.039913,41.155449,40.808849,40.834522,40.834522,8203200,0.000157
2010-03-26,40.873039,41.033504,40.693325,40.879459,40.879459,10630300,0.001100
2010-03-29,40.905132,41.104107,40.815273,40.905132,40.905132,8176700,0.000628
2010-03-30,40.905121,41.059166,40.763912,40.860191,40.860191,6113600,-0.001099
2010-03-31,40.776760,40.866619,40.552113,40.609879,40.609879,8193800,-0.006145
2010-04-01,40.738247,40.885876,40.564949,40.667645,40.667645,10554900,0.001421
2010-04-02,40.738247,40.885876,40.564949,40.667645,40.667645,10554900,0.000000
2010-04-05,40.686909,41.007835,40.629143,40.924393,40.924393,8579800,0.006293
2010-04-06,40.808846,40.815262,40.442989,40.507175,40.507175,11052300,-0.010247
2010-04-07,40.378819,40.436584,39.929520,40.115658,40.115658,14043500,-0.009712
2010-04-08,40.083565,40.340302,39.871750,40.154167,40.154167,8458800,0.000959
2010-04-09,40.160591,40.436588,40.122078,40.263287,40.263287,9146700,0.002714
2010-04-12,40.083561,40.423740,40.057884,40.244022,40.244022,9164400,-0.000479
2010-04-13,40.179832,40.654800,40.166996,40.436573,40.436573,11229400,0.004773
2010-04-14,40.385235,40.584213,40.250450,40.558537,40.558537,7685600,0.003012
2010-04-15,40.455830,40.526432,40.256855,40.436573,40.436573,11314800,-0.003012
2010-04-16,40.308205,40.751083,40.199093,40.340298,40.340298,12568700,-0.002384
2010-04-19,40.321033,40.597031,40.244011,40.577774,40.577774,9548900,0.005870
2010-04-20,40.738255,40.751095,40.455841,40.558537,40.558537,11230400,-0.000474
2010-04-21,40.571373,40.860207,40.513603,40.840950,40.840950,9858500,0.006939
2010-04-22,40.763931,40.911560,40.584213,40.815281,40.815281,8372900,-0.000629
2010-04-23,40.744663,40.847355,40.564945,40.783173,40.783173,8452600,-0.000787
2010-04-26,40.725410,41.078430,40.693321,41.039917,41.039917,9262400,0.006276
2010-04-27,40.590614,41.014236,40.462246,40.507175,40.507175,12849900,-0.013066
2010-04-28,40.521412,41.045311,40.366184,40.857742,40.857742,13090000,0.008617
2010-04-29,40.282108,40.728394,39.344265,40.230366,40.230366,27302400,-0.015474
2010-04-30,40.443787,40.747780,40.172134,40.204475,40.204475,15768900,-0.000644
2010-05-03,40.372643,40.644295,39.997505,40.540810,40.540810,9756600,0.008331
2010-05-04,40.295040,40.443802,39.816414,39.913433,39.913433,11402600,-0.015596
2010-05-05,39.855209,40.469658,39.777592,40.204475,40.204475,11611000,0.007265
2010-05-06,40.042797,40.534359,25.464140,39.292522,39.292522,28560400,-0.022944
2010-05-07,39.201965,39.583569,38.807423,39.007927,39.007927,23976600,-0.007269
2010-05-10,39.822887,40.553761,39.557705,40.372658,40.372658,16011300,0.034388
2010-05-11,40.126865,40.728382,40.088058,40.340305,40.340305,12397400,-0.000802
2010-05-12,40.172142,40.831867,40.165672,40.760719,40.760719,11004800,0.010368
2010-05-13,40.689575,41.019440,40.573154,40.586090,40.586090,11157600,-0.004293
2010-05-14,40.592560,40.877151,40.198021,40.450268,40.450268,14651600,-0.003352
2010-05-17,40.754253,41.058247,40.527878,40.993568,40.993568,14659000,0.013342
2010-05-18,41.006508,41.362244,40.831875,40.883617,40.883617,15873100,-0.002686
2010-05-19,40.812450,41.135845,40.624886,40.890068,40.890068,15928300,0.000158
2010-05-20,40.404987,40.450260,39.829346,39.848747,39.848747,23365800,-0.025796
2010-05-21,39.066139,40.023388,39.046734,40.003983,40.003983,23162500,0.003888
2010-05-24,39.732338,40.088074,39.454220,39.712936,39.712936,12718900,-0.007302
2010-05-25,38.904442,39.531830,38.839764,39.486553,39.486553,18250900,-0.005717
2010-05-26,39.370121,39.590031,39.020859,39.092003,39.092003,17432200,-0.010042
2010-05-27,39.376598,39.564167,39.201965,39.421875,39.421875,14963400,0.008403
2010-05-28,39.421867,39.894024,39.357185,39.512417,39.512417,13952100,0.002294
2010-05-31,39.421867,39.894024,39.357185,39.512417,39.512417,13952100,0.000000
2010-06-01,39.383057,39.932831,39.143745,39.557690,39.557690,15341700,0.001145
2010-06-02,39.557686,39.991039,39.480072,39.932827,39.932827,12985200,0.009439
2010-06-03,40.081604,40.191559,39.906971,39.971649,39.971649,10739800,0.000972
2010-06-04,39.531834,39.531834,39.176098,39.324860,39.324860,17909700,-0.016314
2010-06-07,39.273109,39.499489,39.189030,39.208431,39.208431,13182300,-0.002965
2010-06-08,39.247231,40.256226,39.124344,40.191544,40.191544,15336800,0.024765
2010-06-09,40.392071,40.489090,39.628857,39.758217,39.758217,14211600,-0.010840
2010-06-10,40.081589,40.288563,39.887550,40.042782,40.042782,14756000,0.007132
2010-06-11,39.680576,39.712917,39.053192,39.460667,39.460667,19772400,-0.014644
2010-06-14,39.706455,39.919899,39.590034,39.615906,39.615906,10972800,0.003926
2010-06-15,39.848747,40.055717,39.674110,40.042782,40.042782,11944100,0.010718
2010-06-16,39.790543,39.932838,39.344261,39.577103,39.577103,14628800,-0.011698
