Date,y_true,y_pred
2022-01-03,455.810455,450.3140646102517
2022-01-04,455.657745,452.9174257691267
2022-01-05,446.908112,452.75913962394293
2022-01-06,446.488312,444.0700143153229
2022-01-07,444.723145,443.6718019470868
2022-01-10,444.169678,441.936775788933
2022-01-11,448.215332,441.41515722743367
2022-01-12,449.427155,445.4495341062395
2022-01-13,443.234589,446.6485485208601
2022-01-14,443.415894,440.49241905953767
2022-01-17,443.415894,440.68639865125107
2022-01-18,435.563202,440.6975519622216
2022-01-19,431.040527,432.9112775115809
2022-01-20,426.269745,428.4401094491796
2022-01-21,417.901794,423.7322060994825
2022-01-24,419.676453,415.46615311530803
2022-01-25,414.552673,417.30856472574874
2022-01-26,413.512665,412.27652965305015
2022-01-27,411.470703,411.28129785375955
2022-01-28,421.689758,409.28069266548533
2022-01-31,429.284821,419.471698932618
2022-02-01,432.185547,427.01854770436086
2022-02-02,436.38385,429.8692096410071
2022-02-03,426.126617,433.99707409846184
2022-02-04,428.130341,423.7694257462603
2022-02-07,426.756317,425.749000307871
2022-02-08,430.267639,424.3704347257509
2022-02-09,436.565094,427.85191876038425
2022-02-10,428.721954,434.0826873001932
2022-02-11,420.268066,426.2653119820547
2022-02-14,418.894104,417.8587638495192
2022-02-15,425.649536,416.50868297412444
2022-02-16,426.126617,423.22701572339633
2022-02-17,417.023926,423.6991717647522
2022-02-18,414.32373,414.6537284377984
2022-02-21,414.32373,411.98870985607624
2022-02-22,409.877289,412.0082440905064
2022-02-23,402.606659,407.614918623976
2022-02-24,408.665497,400.41652809030114
2022-02-25,417.682312,406.4986989278029
2022-02-28,416.613678,415.4801534948011
2022-03-01,410.268494,414.4120879341749
2022-03-02,417.815948,408.09397915248525
2022-03-03,415.73587,415.5883305733273
2022-03-04,412.358154,413.49800726879954
2022-03-07,400.202148,410.13611362867
2022-03-08,397.167969,398.05873134429936
2022-03-09,407.816345,395.0714121672963
2022-03-10,405.974792,405.6744677517322
2022-03-11,400.812866,403.8506688310218
2022-03-14,397.883514,398.7173036996722
2022-03-15,406.633148,395.81557562629973
2022-03-16,415.649902,404.5256243947015
2022-03-17,420.850189,413.4758756180124
2022-03-18,425.459625,418.61321730550355
2022-03-21,425.335175,423.1552697837055
2022-03-22,430.312195,422.98961239944697
2022-03-23,424.770447,427.90107218897043
2022-03-24,431.173584,422.36632330240127
2022-03-25,433.279266,428.71828803822615
2022-03-28,436.361145,430.7962516364229
2022-03-29,441.759399,433.84764665249975
2022-03-30,439.031586,439.1931356494335
2022-03-31,432.274353,436.4673521538041
2022-04-01,433.49942,429.75123484428946
2022-04-04,437.213013,430.98367260014055
2022-04-05,431.69046,434.68533044552044
2022-04-06,427.37384,429.2001859223628
2022-04-07,429.527313,424.92856558598993
2022-04-08,428.378845,427.0867424253788
2022-04-11,421.056854,425.94967688433854
2022-04-12,419.496704,418.67713665278734
2022-04-13,424.301483,417.1315051659699
2022-04-14,419.018188,421.9139232401389
2022-04-15,419.018188,416.65945841631367
2022-04-18,419.190491,416.6583345219524
2022-04-19,425.957306,416.8388618725912
2022-04-20,425.641418,423.56979741786563
2022-04-21,419.276581,423.24208155320724
2022-04-22,407.772034,416.90427632176335
2022-04-25,410.136078,405.48825320879234
2022-04-26,398.25824,407.8861645414853
2022-04-27,399.378082,396.12013091592786
2022-04-28,409.466095,397.28187991589044
2022-04-29,394.334015,407.3445963969019
2022-05-02,396.707672,392.3181355200848
2022-05-03,398.526245,394.72108524668647
2022-05-04,410.662567,396.5536403101912
2022-05-05,396.066406,408.63353770044887
2022-05-06,393.702332,394.1094471820545
2022-05-09,381.096985,391.775334433965
2022-05-10,381.9776,379.2721179610381
2022-05-11,375.909485,380.1915014755249
2022-05-12,375.516968,374.1983424976057
2022-05-13,384.494843,373.86694839221815
2022-05-16,382.934723,382.83544265031736
2022-05-17,390.811798,381.29264646139023
2022-05-18,375.057617,389.1200568416487
2022-05-19,372.760529,373.42966837102756
2022-05-20,372.923218,371.1593257346047
2022-05-23,379.900635,371.34074313294974
2022-05-24,377.00058,378.29131447685216
2022-05-25,380.331329,375.4061961551035
2022-05-26,387.930847,378.71537805050355
2022-05-27,397.454285,386.25042074181005
2022-05-30,397.454285,395.67570175025554
2022-05-31,395.224121,395.62379669411064
2022-06-01,392.027374,393.35518750926735
2022-06-02,399.492889,390.13240859279074
2022-06-03,392.936646,397.53419179640184
2022-06-06,394.133087,390.98938975547577
2022-06-07,397.913605,392.16247042869827
2022-06-08,393.587524,395.92138251250327
2022-06-09,384.226776,391.6121750090918
2022-06-10,373.085846,382.3097433565249
2022-06-13,358.920563,371.27031983408955
2022-06-14,357.838898,357.25866473895786
2022-06-15,362.94043,356.27359426394975
2022-06-16,350.928558,361.4290233350098
2022-06-17,351.685089,349.5512799759518
2022-06-20,351.685089,350.3858182994024
2022-06-21,360.538269,350.4575085610274
2022-06-22,359.884613,359.32022966099885
2022-06-23,363.412354,358.69709701548385
2022-06-24,374.966644,362.2252626949669
2022-06-27,373.534424,373.7212486791308
2022-06-28,365.902039,372.24696357735155
2022-06-29,365.604065,364.6002540789576
2022-06-30,362.633759,364.2850133734101
2022-07-01,366.469177,361.3219222744534
2022-07-04,366.469177,365.1363664924039
2022-07-05,367.161285,365.12229942966906
2022-07-06,368.401337,365.78862237951193
2022-07-07,373.918945,366.97496125036156
2022-07-08,373.611359,372.4069741683197
2022-07-11,369.343353,372.0378779525949
2022-07-12,366.075043,367.7438837369104
2022-07-13,364.152527,364.4665548011933
2022-07-14,363.268219,362.5542225118955
2022-07-15,370.208435,361.6871987154103
2022-07-18,367.151672,368.587809247781
2022-07-19,377.071838,365.5209679552555
2022-07-20,379.474945,375.3686648463826
2022-07-21,383.339203,377.7246373718524
2022-07-22,379.782562,381.5396088976482
2022-07-25,380.243988,377.97261364341495
2022-07-26,375.7453,378.4179700465336
2022-07-27,385.502075,373.94119931391475
2022-07-28,390.337189,383.6483019482151
2022-07-29,396.027832,388.44850899917975
2022-08-01,394.855072,394.0885079432778
2022-08-02,392.250092,392.9017683827229
2022-08-03,398.392487,390.29992549598023
2022-08-04,398.123322,396.4041833552544
2022-08-05,397.45047,396.1293850885141
2022-08-08,396.989075,395.4647120085186
2022-08-09,395.412567,395.0057405607015
2022-08-10,403.717804,393.4435900204534
2022-08-11,403.717804,401.6981099860868
2022-08-12,410.552368,401.67753573095297
2022-08-15,412.244202,408.4566373435993
2022-08-16,413.051605,410.11543543704516
2022-08-17,410.119873,410.89414781534225
2022-08-18,411.311798,407.96418632346763
2022-08-19,405.784546,409.14126565208664
2022-08-22,397.335144,403.6445601369707
2022-08-23,396.373901,395.2606535360556
2022-08-24,397.642761,394.3259994820973
2022-08-25,403.25647,395.6044681269012
2022-08-26,389.606628,401.1914446487391
2022-08-29,387.030518,387.6169357955818
2022-08-30,382.781677,385.08521697622655
2022-08-31,379.86911,380.89546853722857
2022-09-01,381.061005,378.038122348749
2022-09-02,377.042969,379.27326431027234
2022-09-05,377.042969,375.3097218425958
2022-09-06,375.620361,375.3384205177165
2022-09-07,382.368378,373.9581106181461
2022-09-08,384.867584,380.7047539665424
2022-09-09,390.846649,383.2039598290253
2022-09-12,395.047302,389.13940473341154
2022-09-13,377.86972,393.28191515511776
2022-09-14,379.311584,376.17055564423083
