Date,y_true,y_pred
2022-01-03,455.810455,453.5167179535103
2022-01-04,455.657745,456.14424621125517
2022-01-05,446.908112,455.9900664154136
2022-01-06,446.488312,447.2387936400509
2022-01-07,444.723145,446.828955548584
2022-01-10,444.169678,445.05888981931747
2022-01-11,448.215332,444.51437697792096
2022-01-12,449.427155,448.55542306018305
2022-01-13,443.234589,449.75471800278547
2022-01-14,443.415894,443.557004526161
2022-01-17,443.415894,443.75044046982265
2022-01-18,435.563202,443.74288159082363
2022-01-19,431.040527,435.8827891720683
2022-01-20,426.269745,431.3595190892258
2022-01-21,417.901794,426.59465811425326
2022-01-24,419.676453,418.22949533029606
2022-01-25,414.552673,420.03296201843045
2022-01-26,413.512665,414.8952422473932
2022-01-27,411.470703,413.840079407841
2022-01-28,421.689758,411.795862941934
2022-01-31,429.284821,422.0344548401201
2022-02-01,432.185547,429.62078315842547
2022-02-02,436.38385,432.50822009199106
2022-02-03,426.126617,436.70684844320414
2022-02-04,428.130341,426.45197979939235
2022-02-07,426.756317,428.4677983963513
2022-02-08,430.267639,427.08516212342073
2022-02-09,436.565094,430.60642199660623
2022-02-10,428.721954,436.8952523476467
2022-02-11,420.268066,429.0580378376884
2022-02-14,418.894104,420.5979234622326
2022-02-15,425.649536,419.22982418875984
2022-02-16,426.126617,425.9817398069
2022-02-17,417.023926,426.46193625664154
2022-02-18,414.32373,417.35297718062424
2022-02-21,414.32373,414.6541079876196
2022-02-22,409.877289,414.6506012097573
2022-02-23,402.606659,410.2066133560624
2022-02-24,408.665497,402.92495821752067
2022-02-25,417.682312,409.02512385332943
2022-02-28,416.613678,418.0136253840618
2022-03-01,410.268494,416.940071257596
2022-03-02,417.815948,410.5856611847808
2022-03-03,415.73587,418.14313374552677
2022-03-04,412.358154,416.0483926969981
2022-03-07,400.202148,412.6816557074912
2022-03-08,397.167969,400.5180691425848
2022-03-09,407.816345,397.4967403976784
2022-03-10,405.974792,408.13783928003846
2022-03-11,400.812866,406.2972059290218
2022-03-14,397.883514,401.1221977144494
2022-03-15,406.633148,398.2004506884885
