p,d,q,RMSE,MAE,MAPE (%),HitRate (%),Precision,Recall,F1
0,1,0,1.5768550796645333,1.1921554684485178,1.2438259127508906,53.59897172236504,0.5406091370558376,0.5419847328244275,0.5412960609911055
2,1,1,1.5770282707060053,1.1943640789481684,1.2457323254153243,52.95629820051414,0.5330073349633252,0.55470737913486,0.543640897755611
0,1,1,1.5771860077411433,1.1921610773418363,1.2438363730075948,53.470437017994854,0.537712895377129,0.5623409669211196,0.5497512437810945
1,1,0,1.5771901682312433,1.1921714274027178,1.243849810130502,53.59897172236504,0.5390243902439025,0.5623409669211196,0.5504358655043586
2,1,0,1.5773485181040743,1.1933467632946022,1.24486460030282,53.213367609254504,0.5352798053527981,0.5597964376590331,0.5472636815920398
0,1,2,1.5774457397296082,1.1931826135963295,1.2447513253280265,53.084832904884315,0.5339805825242718,0.5597964376590331,0.546583850931677
1,1,2,1.5775326950139157,1.1948443693596136,1.2464132031244393,52.82776349614395,0.5317073170731708,0.55470737913486,0.5429638854296388
1,1,1,1.5786885887813509,1.1938616007699854,1.245495707062408,53.084832904884315,0.5341463414634147,0.5572519083969466,0.5454545454545454
2,1,2,1.5806259769673374,1.1984984054322911,1.2495613389475835,52.82776349614395,0.5317073170731708,0.55470737913486,0.5429638854296388
