,forecast,lower,upper
2024-12-31,104.83975773160651,103.00516567221655,106.67434979099647
2025-01-01,104.85712046321302,102.26261549140175,107.4516254350243
2025-01-02,104.87448319481953,101.6968765367937,108.05208985284537
2025-01-03,104.89184592642604,101.2226618076461,108.56103004520598
2025-01-06,104.90920865803255,100.80693610225525,109.01148121380986
2025-01-07,104.92657138963907,100.43275695797188,109.42038582130625
2025-01-08,104.94393412124558,100.09005977484588,109.79780846764527
2025-01-09,104.96129685285209,99.77228690922952,110.15030679647465
2025-01-10,104.9786595844586,99.4748834062887,110.4824357626285
2025-01-13,104.99602231606511,99.19453283113391,110.7975118009963
2025-01-14,105.01338504767162,98.92873154330968,111.09803855203356
2025-01-15,105.03074777927813,98.67553446322644,111.38596109532982
2025-01-16,105.04811051088464,98.43339477119504,111.66282625057424
2025-01-17,105.06547324249115,98.20105831175786,111.92988817322444
2025-01-20,105.08283597409766,97.97749148099595,112.18818046719937
2025-01-21,105.10019870570417,97.7618304681443,112.43856694326405
2025-01-22,105.11756143731068,97.55334459652641,112.68177827809495
2025-01-23,105.1349241689172,97.35140925348335,112.91843908435104
2025-01-24,105.1522869005237,97.15548551102066,113.14908829002675
2025-01-27,105.16964963213022,96.96510452057561,113.37419474368482
2025-01-28,105.18701236373673,96.77985538221728,113.59416934525618
2025-01-29,105.20437509534324,96.59937558713361,113.80937460355287
2025-01-30,105.22173782694975,96.42334339610814,114.02013225779136
2025-01-31,105.23910055855626,96.25147169522187,114.22672942189065
2025-02-03,105.25646329016277,96.08350299321293,114.42942358711261
2025-02-04,105.27382602176928,95.91920531145746,114.6284467320811
2025-02-05,105.29118875337579,95.75836877929825,114.82400872745333
2025-02-06,105.3085514849823,95.6008027921829,115.0163001777817
2025-02-07,105.32591421658881,95.44633362291354,115.20549481026409
2025-02-10,105.34327694819532,95.29480240071788,115.39175149567276
