ticker,pearson_corr,n_points
AAPL,0.34139509519333366,1551
TSLA,0.27150284621777304,1501
XOM,0.3213369139540871,1551
SPY,0.45355514292245536,1551
JNJ,0.5571498308313102,1551
AMD,0.2992326150938833,1551
PG,0.5456809186241814,1551
