regime_type,mae,rmse,mape,hit_rate,precision,recall,f1
High-Volatility,3.7832189905729585,5.744830551395296,2.6495771667376813,0.48899808783155824,0.48720624613481756,0.5037282775512735,0.49532391664595754
Low-Volatility,1.1166756295983038,1.588171656958579,0.8393425592609356,0.509967845659164,0.5189731670285932,0.5327424109632699,0.5257675836398339
Post-Trend Reversal,1.3943624369027299,1.9244170013994064,1.4147349767941222,0.4980707395498392,0.5042886842069032,0.5180216172240462,0.5110622753785423
Sideways/Chop,3.7156647442509567,4.89838301795548,0.9705008890324032,0.4958199356913183,0.528235294117647,0.5396634615384616,0.5338882282996433
